from_year,source_vintage,county_norm,from_precinct_norm,src_vtdst,dst_vtd20,weight,match_method,confidence_tier,match_score
2022,2020,ANDERSON,ANDERSONVILLE,0001,000001,1.0,exact_name,high,1.0
2022,2020,ANDERSON,BRICEVILLE,0003,000002,1.0,exact_name,high,1.0
2022,2020,ANDERSON,BRUSHY VALLEY,0004,000004,1.0,exact_name,high,1.0
2022,2020,ANDERSON,BULL RUN,0002,000003,1.0,exact_name,high,1.0
2022,2020,ANDERSON,CLAXTON,0005,000004,1.0,exact_name,high,1.0
2022,2020,ANDERSON,CLINTON,0006,000005,1.0,exact_name,high,1.0
2022,2020,ANDERSON,CLINTON HIGH,0007,000006,1.0,exact_name,high,1.0
2022,2020,ANDERSON,CLINTON MIDDLE,0008,000007,0.90007601,exact_name,high,1.0
2022,2020,ANDERSON,CLINTON MIDDLE,0008,000001,0.09805552,exact_name,high,1.0
2022,2020,ANDERSON,CLINTON MIDDLE,0008,000018,0.00182875,exact_name,high,1.0
2022,2020,ANDERSON,CLINTON MIDDLE,0008,000010,3.358e-05,exact_name,high,1.0
2022,2020,ANDERSON,CLINTON MIDDLE,0008,000011,4.42e-06,exact_name,high,1.0
2022,2020,ANDERSON,CLINTON MIDDLE,0008,000016,1.71e-06,exact_name,high,1.0
2022,2020,ANDERSON,DUTCH VALLEY,0009,000008,1.0,exact_name,high,1.0
2022,2020,ANDERSON,EMORY VALLEY,0010,000009,0.9167539,exact_name,high,1.0
2022,2020,ANDERSON,EMORY VALLEY,0010,000003,0.08187991,exact_name,high,1.0
2022,2020,ANDERSON,EMORY VALLEY,0010,000025,0.00086745,exact_name,high,1.0
2022,2020,ANDERSON,EMORY VALLEY,0010,000005,0.00047794,exact_name,high,1.0
2022,2020,ANDERSON,EMORY VALLEY,0010,000006,2.081e-05,exact_name,high,1.0
2022,2020,ANDERSON,FAIRVIEW,0011,000010,1.0,exact_name,high,1.0
2022,2020,ANDERSON,GLEN ALPINE,0012,000011,0.9166775,exact_name,high,1.0
2022,2020,ANDERSON,GLEN ALPINE,0012,000002,0.08320931,exact_name,high,1.0
2022,2020,ANDERSON,GLEN ALPINE,0012,000020,5.211e-05,exact_name,high,1.0
2022,2020,ANDERSON,GLEN ALPINE,0012,000016,4.84e-05,exact_name,high,1.0
2022,2020,ANDERSON,GLEN ALPINE,0012,000024,1.258e-05,exact_name,high,1.0
2022,2020,ANDERSON,GLEN ALPINE,0012,000008,9e-08,exact_name,high,1.0
2022,2020,ANDERSON,GLENWOOD,0013,000012,1.0,exact_name,high,1.0
2022,2020,ANDERSON,HENDRIX CREEK,0014,000013,1.0,exact_name,high,1.0
2022,2020,ANDERSON,HIGHLAND VIEW,0015,000014,1.0,exact_name,high,1.0
2022,2020,ANDERSON,LAKE CITY MS,0016,000015,0.875,exact_name,high,1.0
2022,2020,ANDERSON,LAKE CITY MS,0016,000021,0.12444763,exact_name,high,1.0
2022,2020,ANDERSON,LAKE CITY MS,0016,000026,0.00054754,exact_name,high,1.0
2022,2020,ANDERSON,LAKE CITY MS,0016,000023,4.83e-06,exact_name,high,1.0
2022,2020,ANDERSON,MARLOW,0017,000017,1.0,exact_name,high,1.0
2022,2020,ANDERSON,NORRIS,0018,000018,1.0,exact_name,high,1.0
2022,2020,ANDERSON,NORTH CLINTON,0019,000019,1.0,exact_name,high,1.0
2022,2020,ANDERSON,NORWOOD,0020,000020,1.0,exact_name,high,1.0
2022,2020,ANDERSON,OR SENIOR CENTER,0021,000021,1.0,exact_name,high,1.0
2022,2020,ANDERSON,PINE VALLEY,0022,000022,1.0,exact_name,high,1.0
2022,2020,ANDERSON,ROBERTSVILLE,0023,000023,1.0,exact_name,high,1.0
2022,2020,ANDERSON,ROCKY TOP,0024,000016,0.83343829,exact_name,high,1.0
2022,2020,ANDERSON,ROCKY TOP,0024,000004,0.09859191,exact_name,high,1.0
2022,2020,ANDERSON,ROCKY TOP,0024,000003,0.06764592,exact_name,high,1.0
2022,2020,ANDERSON,ROCKY TOP,0024,000025,0.00029746,exact_name,high,1.0
2022,2020,ANDERSON,ROCKY TOP,0024,000009,1.306e-05,exact_name,high,1.0
2022,2020,ANDERSON,ROCKY TOP,0024,000013,9.08e-06,exact_name,high,1.0
2022,2020,ANDERSON,ROCKY TOP,0024,000019,4.3e-06,exact_name,high,1.0
2022,2020,ANDERSON,ROSEDALE,0025,000024,1.0,exact_name,high,1.0
2022,2020,ANDERSON,SOUTH CLINTON,0026,000025,1.0,exact_name,high,1.0
