ID,Total Pop,Deviation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",203291,-0.0293,0.2442,0.7558,0,159270,0.8586,0.1414,0.0499,0.0457,0.0119,0.0325,0.0013,
"2",203307,-0.0292,0.2686,0.7314,0,161769,0.8971,0.1029,0.0312,0.0265,0.0102,0.0304,0.0007,
"3",207305,-0.0101,0.2792,0.7208,0,168402,0.8849,0.1151,0.0308,0.041,0.014,0.0249,0.0009,
"4",214884,0.0261,0.2594,0.7406,0,173347,0.9243,0.0757,0.0163,0.0226,0.0091,0.0229,0.0007,
"5",203349,-0.029,0.3147,0.6853,0,159902,0.8387,0.1613,0.0562,0.0575,0.0167,0.029,0.001,
"6",203299,-0.0292,0.3596,0.6404,0,161552,0.8171,0.1829,0.0341,0.0963,0.0249,0.0238,0.0011,
"7",204332,-0.0243,0.3418,0.6582,0,162670,0.8064,0.1936,0.0545,0.0749,0.0384,0.0235,0.0017,
"8",212327,0.0139,0.2309,0.7691,0,168689,0.9062,0.0938,0.0417,0.0139,0.0097,0.0246,0.0009,
"9",211348,0.0092,0.2589,0.7411,0,168174,0.8824,0.1176,0.0552,0.0263,0.0087,0.0255,0.0019,
"10",211874,0.0117,0.4353,0.5647,0,168915,0.7201,0.2799,0.0676,0.1599,0.0284,0.026,0.001,
"11",213909,0.0214,0.3957,0.6043,0,168264,0.7584,0.2416,0.0404,0.1545,0.0199,0.0249,0.0012,
"12",214359,0.0236,0.2786,0.7214,0,169189,0.9329,0.0671,0.0165,0.0176,0.0052,0.024,0.0006,
"13",203305,-0.0292,0.3367,0.6633,0,151595,0.7194,0.2806,0.0728,0.138,0.0477,0.0224,0.0015,
"14",209385,-0.0002,0.3825,0.6175,0,158141,0.6765,0.3235,0.1162,0.1562,0.0278,0.024,0.0018,
"15",206039,-0.0161,0.3026,0.6974,0,164720,0.9015,0.0985,0.0369,0.021,0.0117,0.0263,0.0012,
"16",210544,0.0054,0.327,0.673,0,164366,0.8731,0.1269,0.0438,0.0423,0.0097,0.0269,0.001,
"17",216082,0.0318,0.3579,0.6421,0,167422,0.7468,0.2532,0.0778,0.1226,0.0282,0.0239,0.0013,
"18",207896,-0.0073,0.2932,0.7068,0,159086,0.8122,0.1878,0.0533,0.0889,0.0183,0.0241,0.0015,
"19",215379,0.0285,0.8142,0.1858,0,164274,0.3257,0.6743,0.1216,0.5123,0.031,0.0189,0.0015,
"20",216076,0.0318,0.4659,0.5341,0,175547,0.7688,0.2312,0.0613,0.1106,0.0372,0.0216,0.0014,
"21",216084,0.0318,0.5807,0.4193,0,178373,0.633,0.367,0.1513,0.1261,0.0748,0.0198,0.0014,
"22",216092,0.0319,0.4477,0.5523,0,158006,0.6252,0.3748,0.0897,0.2228,0.0372,0.0278,0.0071,
"23",216082,0.0318,0.3407,0.6593,0,167040,0.8622,0.1378,0.0481,0.0512,0.009,0.026,0.001,
"24",212561,0.015,0.3312,0.6688,0,166940,0.8442,0.1558,0.0238,0.0991,0.007,0.0219,0.0013,
"25",204183,-0.025,0.3763,0.6237,0,159046,0.704,0.296,0.0348,0.2322,0.0102,0.018,0.0008,
"26",215745,0.0302,0.342,0.658,0,170702,0.7792,0.2208,0.0219,0.1698,0.0063,0.0201,0.001,
"27",215763,0.0303,0.2651,0.7349,0,158322,0.8298,0.1702,0.0473,0.044,0.058,0.0159,0.001,
"28",210183,0.0036,0.3487,0.6513,0,159001,0.815,0.185,0.0518,0.0944,0.0128,0.023,0.0012,
"29",203170,-0.0298,0.8645,0.1355,0,156945,0.2311,0.7689,0.0359,0.7094,0.0163,0.013,0.001,
"30",203175,-0.0298,0.7167,0.2833,0,152840,0.2871,0.7129,0.0953,0.5743,0.0335,0.0164,0.0012,
"31",203172,-0.0298,0.296,0.704,0,157166,0.7029,0.2971,0.0371,0.1733,0.07,0.0144,0.0012,
"32",203169,-0.0298,0.4027,0.5973,0,153215,0.6025,0.3975,0.0586,0.2959,0.0209,0.0223,0.0015,
"33",203171,-0.0298,0.8587,0.1413,0,151583,0.1669,0.8331,0.1049,0.6993,0.025,0.0137,0.0011,
"",209419,0.0617,0.3959,0.6041,0,163166,0.7351,0.2649,0.0568,0.1606,0.0238,0.0229,0.0013,
